feature,importance
hour,0.29369650239645084
rolling_30d_station_delays,0.17269071167750474
station_name,0.14995254263669808
mean_temp_c,0.11054415800393003
is_rush_hour,0.0536141280541798
is_weekend,0.043029021977058074
total_precip_mm,0.04284000241807087
rolling_7d_station_delays,0.038974671393852404
bound,0.02693326290099344
line,0.026866463607095225
day_of_week,0.02632647238434504
season,0.014532062549821466
mode,0.0
